player_name,batting_average,strike_rate
SR Bhudia (KENYA),18.67,118.05
Zeeshan Kukikhel (HUN),34.8,165.18
M Akayezu (RWN),8.12,102.36
J Barker (LUX),23.59,97.92
F Behardien (SA),32.37,128.21
M van Lingen (NAM),19.18,115.88
M Coetzee (HKG),19.88,133.59
TWM Latham (NZ),25.8,108.86
CN Ackermann (NED),24.52,114.69
RA Jadeja (IND),21.45,127.16
MJ Richardson (GER),30.05,103.86
V Sibanda (ZIM),20.44,101.59
A Ferguson (Arg),34,92.89
LM Jongwe (ZIM),15.42,121.47
RK Singh (IND),46.09,165.14
C Chatphaisan (THA),15.78,103.69
C de Grandhomme (NZ),15.78,138.35
Haider Ali (PAK),17.41,124.69
Nawroz Mangal (AFG),18.03,111.47
PV Vuniwaqa (Fiji),33.66,154.43
Umer Toor (BHR),15.65,115.43
Imran Nazir (PAK),21.73,135.13
T Jamtsho (BHU),20.83,116
IDM Latin (GIBR),23.71,123.88
AR Patel (IND),19.92,142.28
Saim Ayub (PAK),21.65,137.95
B McMullen (SCOT),38.23,148.8
S Periyalwar (ROM),26.15,108.51
T Perera (BOT),23.61,101.22
JK Vifah (GHA),17.71,110.71
TP Visee (NED),16,146.31
YSD Seneveratne (CAY),33,121.62
Aarif Sheikh (NEP),19,108.81
ZE Green (NAM),14.96,103.13
Shafiqullah (AFG),16.46,145.29
M Simpson-Parker (Aut),17.64,101.22
A Dizija (SRB),20.54,108.59
RE van der Merwe (NED/SA),22.4,128.38
DK Kesuma (INA),20.5,116.31
JO Holder (WI),16.36,129.21
MJ Clarke (AUS),21.21,103.17
AE Paraam (SGP),48.5,142.22
G Burrows (IOM),32.26,112.03
Ahmad Ramdoni (INA),19.32,82.56
IDA Damarell (GUE),21.95,113.64
Aamir Kaleem (OMA),17.17,112.91
DC Smith (PHI),17.81,105.25
N Dickwella (SL),18.46,131.14
D Myers (ZIM),21.77,125.72
SW Billings (ENG/ICC),17.07,129.89
K Irakoze (RWN),10.17,106.22
Bilal Zalmai (Aut),47.7,176.01
Gulsan Jha (NEP),22.71,139.88
Mohammad Nawaz (3) (PAK),18.34,134.36
R Pathan (CAN),39.75,157.42
S Thakor (TAN),13.62,143.24
Anjar Tadarus (INA),13.57,87.15
L Lamin (SLE),20.65,94.62
Azmatullah Omarzai (AFG),14.36,111
JDP Oram (NZ),20.6,139.82
GJ Bailey (AUS/World),24.89,136.7
E Sebareme (RWN),11.7,94.92
Azhar Andani (PORT),33.35,118.22
Rashid Khan (AFG/ICC),13.73,126.21
NJ O'Brien (IRE),17.92,98.1
N Mugabe (KENYA),24.42,110.21
Najjam Shahzad (PORT),25.77,137.27
JEC Franklin (NZ),20.13,118.41
JM Vince (ENG),27.23,128.25
PK Matautaava (VAN),17.76,127.27
M Campopiano (ITA),38.41,123.92
Lakshit Gupta (CAM),18.32,95.41
JD Ryder (NZ),22.85,127.65
Karan KC (NEP),15.62,154.6
B Niaz (Belg),23.78,122.82
Saud Islam (UGA),26.58,106.1
H Thaker (CAN),20.5,121.56
JJ Huo (MOZ),16.07,101.12
Mohammad Ashraful (BAN),19.56,126.4
Rameez Shahzad (UAE),24.94,111.13
JJ Atkinson (HKG),19.47,114.57
S Dube (IND),29.86,134.93
Anamul Haque (BAN),24.72,112.65
Nurul Hasan (BAN),16.48,118.35
SA Jumbe (TAN),14.32,107.24
Mirza Ahsan (Aut),21.09,163.46
E Niyomugabo (RWN),10.52,99.54
Younis Khan (PAK),22.1,121.42
Hisham Shaikh (KSA),23.15,95.86
CJ Jordan (ENG),13.71,129.11
B Masaba (UGA),16.88,102.33
OJ Hairs (SCOT),18.25,170.42
C Madande (ZIM),19.86,116.53
I Takahashi (JPN),15.57,122.12
Waji Ul Hassan (KSA),27.12,128.02
SA Okpe (NGA),13.96,100.23
MA Baig (MWI),20.38,94.06
Faisal Mubashir (GER),32.92,101.66
Jaspal Singh (MLT),21.4,111.45
SE Rutherford (WI),25.17,143.14
J Bangura (SLE),13.74,72.82
Junaid Aziz (BHR),20.19,111.28
S Nadigotla (ROM),15.62,113.44
T Tshose (BOT),16.8,129.23
Ali Masood (EST),19.04,99.28
PL Mommsen (SCOT),34.91,127.35
Usman Khan (Fran),26.18,119.03
VS Padhaal (FIN),15.48,100.48
S Ivetic (SRB),41.7,98.58
AC Douglas (BER),23.11,141.97
Kuldeep (PORT),32,161.86
JN Loftie-Eaton (NAM),18,130.59
JP Kaltapau (VAN),20.6,99.03
RL Chase (WI),22.77,115.16
Aziz Mohammad (Belg),22.66,140.68
MW Machan (SCOT),40.7,127.98
WU Tharanga (SL),16.28,123.33
TS Fray (BER),17.65,91.64
Maaz Khan (LES),19.33,145.51
Sharjeel Khan (PAK),22.55,133.11
B Bhandari (NEP),16.87,114.73
DM Bravo (WI),21.31,106.86
EC Joyce (ENG/IRE),33.75,93.96
R Chopra (UAE),40.4,123.92
BJ Haddin (AUS),17.47,114.52
RT Ponting (AUS),28.64,132.78
HH Gibbs (SA),18.18,125.78
Aqib Iqbal (Aut),19.8,113.14
GE Ngegba (SLE),18,97.29
MTMMJ Ave (COK),56.42,118.61
A McAuley (IOM),18.8,91.22
Mohammad Ahnaff (QAT),26.33,113.18
Shan Masood (PAK),30.38,121.91
R Tari (VAN),15.19,106.75
Hussain Talat (PAK),24.62,118.31
DK Mathias (BHR),32.83,107.94
V Sehwag (IND),21.88,145.38
Tenjin Rabgey (BHU),15.15,80.24
Abdul Razzaq (PAK),20.68,116.61
Habib Khan (EST),26.13,120.98
Omar Rassol (BUL),20.63,125.23
Shiraz Khan (KUW),19.6,98.74
RM Dorji (BHU),15.64,94.9
R Rohan (SGP),13.96,97.99
Saad Bin Zafar (CAN),26,122.25
Mosaddek Hossain (BAN),18.52,114.07
Rizwan Cheema (CAN),17.68,123.88
S Jora (NEP),19.4,118.29
Sheraz Sheikh (Belg),18.33,105.76
A Shreshta (NGA),20.26,97.96
M Shumba (ZIM),20.26,108.14
WG Jacks (ENG),18.23,136.78
AA Onikoyi (NGA),15.95,88.45
Sahil Chauhan (EST),54.57,206.48
PHKD Mendis (SL),19.05,122.5
T Sandeep (SWZ),23.81,105.54
WAE Burton (SRB),16.52,139.7
Tamoor Sajjad (QAT),34.54,135.71
R Mutumbami (ZIM),17.22,117.33
NMS Param (SGP),27,117.02
RA Sealy (CAY),21,140
L Canessane (Fran),17.95,121.22
Mashrafe Mortaza (BAN),13.46,136.1
US Hathinjar (CAM),13.92,109.3
AK Mohan (FIN),15,88.65
AM Rahane (IND),20.83,113.29
Jaker Ali (BAN),28.76,122.22
RR Sharan (CAM),18.7,90.99
Aman Desai (SGP),14.8,120.52
Nasir Hossain (BAN),18.5,113.49
A Turay (SLE),17.61,102.49
S Pradhan (BHU),14.19,88.7
DJ Hooda (IND),30.66,147.2
Sahir Naqash (GER),23,132.85
BBJL Perera (ITA),28.23,111.89
PS Athavale (OMA),22.75,126.38
Awais Ahmed (ESP),21.41,117.41
PJ Moor (ZIM),24.26,127.27
WIA Fernando (SL),11,94.04
Nasir Jamshed (PAK),21.35,113.43
DA Blignaut (GER),18.1,92.11
Mahedi Hasan (BAN),12.92,101.68
Hamza Khan (RWN),17.23,99.17
D Suzuki (JPN),18.1,110.03
Shoaib Khan (OMA),18.05,105.86
G Stewart (ITA),27.69,162.89
K Doriga (PNG),12.82,97.02
L Ronchi (AUS/ICC/NZ),17.95,140.23
D Heyliger (CAN),29.83,168.07
Shahil Momin (Aut),21.05,99.72
Bilal Masud (EST),44.5,130.88
SM Curran (ENG),14.24,124.47
